model_id,name,initial,default,optimized,lower,upper,timescale_run,units,timescale_ori,units_ori,model,model_approach,approach_func,name_full,is_ml,dist,p_dist
10,constant_frac_max_root_depth,0.5,0.5,0.12537152,0.1,0.8,,,,,rootMaximumDepth,rootMaximumDepth_fracSoilD,rootMaximumDepth_fracSoilD,rootMaximumDepth.constant_frac_max_root_depth,true,normal,"Float32[0.0, 1.0]"
11,k_efficiency_cVegRoot,0.02,0.02,0.061562825,0.001,0.3,,m2/gC,,m2/gC,rootWaterEfficiency,rootWaterEfficiency_expCvegRoot,rootWaterEfficiency_expCvegRoot,rootWaterEfficiency.k_efficiency_cVegRoot,true,normal,"Float32[0.0, 1.0]"
12,constant_frac_tree,1.0,1.0,0.30073094,0.3,1.0,,,,,treeFraction,treeFraction_constant,treeFraction_constant,treeFraction.constant_frac_tree,true,normal,"Float32[0.0, 1.0]"
13,k_extinction,0.005,0.005,0.004910692,0.0005,0.05,,,,,fAPAR,fAPAR_cVegLeaf,fAPAR_cVegLeaf,fAPAR.k_extinction,true,normal,"Float32[0.0, 1.0]"
16,melt_T,3.0,3.0,8.085942,0.01,10.0,,mm/°C,,mm/°C,snowMelt,snowMelt_TairRn,snowMelt_TairRn,snowMelt.melt_T,true,normal,"Float32[0.0, 1.0]"
16,melt_Rn,2.0,2.0,0.9278346,0.01,3.0,,mm/MJ/m2,,mm/MJ/m2,snowMelt,snowMelt_TairRn,snowMelt_TairRn,snowMelt.melt_Rn,true,normal,"Float32[0.0, 1.0]"
17,β,1.1,1.1,4.3029895,0.1,5.0,,,,,runoffSaturationExcess,runoffSaturationExcess_Bergstroem1992,runoffSaturationExcess_Bergstroem1992,runoffSaturationExcess.β,true,normal,"Float32[0.0, 1.0]"
22,α,1.0,1.0,0.5696233,0.1,3.0,,,,,evaporation,evaporation_fAPAR,evaporation_fAPAR,evaporation.α,true,normal,"Float32[0.0, 1.0]"
22,k_evaporation,0.2,0.2,0.9497632,0.05,0.95,day,day-1,day,day-1,evaporation,evaporation_fAPAR,evaporation_fAPAR,evaporation.k_evaporation,true,normal,"Float32[0.0, 1.0]"
23,dos_exp,1.5,1.5,2.9992867,0.1,3.0,,,,,drainage,drainage_dos,drainage_dos,drainage.dos_exp,true,normal,"Float32[0.0, 1.0]"
25,dos_exp,1.5,1.5,2.9987454,1.0,3.0,,,,,groundWRecharge,groundWRecharge_dos,groundWRecharge_dos,groundWRecharge.dos_exp,true,normal,"Float32[0.0, 1.0]"
28,k_transpiration,0.99,0.99,0.045725644,0.002,1.0,,,,,transpirationSupply,transpirationSupply_wAWC,transpirationSupply_wAWC,transpirationSupply.k_transpiration,true,normal,"Float32[0.0, 1.0]"
29,εmax,2.0,2.0,1.8660866,0.1,5.0,,gC/MJ,,gC/MJ,gppPotential,gppPotential_Monteith,gppPotential_Monteith,gppPotential.εmax,true,normal,"Float32[0.0, 1.0]"
30,μ,0.46,0.46,0.029113466,0.0001,1.0,,,,,gppDiffRadiation,gppDiffRadiation_Wang2015,gppDiffRadiation_Wang2015,gppDiffRadiation.μ,true,normal,"Float32[0.0, 1.0]"
32,opt_airT,25.0,25.0,34.97864,5.0,35.0,,°C,,°C,gppAirT,gppAirT_CASA,gppAirT_CASA,gppAirT.opt_airT,true,normal,"Float32[0.0, 1.0]"
32,opt_airT_A,0.2,0.2,0.29338688,0.01,0.3,,,,,gppAirT,gppAirT_CASA,gppAirT_CASA,gppAirT.opt_airT_A,true,normal,"Float32[0.0, 1.0]"
32,opt_airT_B,0.3,0.3,0.15561149,0.01,0.5,,,,,gppAirT,gppAirT_CASA,gppAirT_CASA,gppAirT.opt_airT_B,true,normal,"Float32[0.0, 1.0]"
33,κ,0.4,0.4,0.6125959,0.06,0.7,,kPa-1,,kPa-1,gppVPD,gppVPD_PRELES,gppVPD_PRELES,gppVPD.κ,true,normal,"Float32[0.0, 1.0]"
33,c_κ,0.4,0.4,-49.21103,-50.0,10.0,,,,,gppVPD,gppVPD_PRELES,gppVPD_PRELES,gppVPD.c_κ,true,normal,"Float32[0.0, 1.0]"
33,sat_ambient_CO2,2000.0,2000.0,3767.3838,400.0,4000.0,,ppm,,ppm,gppVPD,gppVPD_PRELES,gppVPD_PRELES,gppVPD.sat_ambient_CO2,true,normal,"Float32[0.0, 1.0]"
34,q,1.0,1.0,3.999695,0.01,4.0,,,,,gppSoilW,gppSoilW_Stocker2020,gppSoilW_Stocker2020,gppSoilW.q,true,normal,"Float32[0.0, 1.0]"
34,θstar,0.6,0.6,0.61578625,0.1,1.0,,,,,gppSoilW,gppSoilW_Stocker2020,gppSoilW_Stocker2020,gppSoilW.θstar,true,normal,"Float32[0.0, 1.0]"
36,WUE_one_hpa,9.2,9.2,5.4510417,2.0,20.0,,gC/mmH2O,,gC/mmH2O,WUE,WUE_expVPDDayCo2,WUE_expVPDDayCo2,WUE.WUE_one_hpa,true,normal,"Float32[0.0, 1.0]"
36,κ,0.4,0.4,0.15113036,0.06,0.7,,kPa-1,,kPa-1,WUE,WUE_expVPDDayCo2,WUE_expVPDDayCo2,WUE.κ,true,normal,"Float32[0.0, 1.0]"
40,c_τ_Root,0.002739726,0.002739726,0.008554829,0.0001369863,0.009041096,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_Root,true,normal,"Float32[0.0, 1.0]"
40,c_τ_Wood,8.219178e-5,8.219178e-5,0.0025810865,2.739726e-6,0.02739726,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_Wood,true,normal,"Float32[0.0, 1.0]"
40,c_τ_Leaf,0.002739726,0.002739726,0.007354934,0.0001369863,0.02739726,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_Leaf,true,normal,"Float32[0.0, 1.0]"
40,c_τ_LitFast,0.040547945,0.040547945,0.09678012,0.001369863,0.40547946,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_LitFast,true,normal,"Float32[0.0, 1.0]"
40,c_τ_LitSlow,0.010684932,0.010684932,0.012125016,0.0010684931,0.10684931,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_LitSlow,true,normal,"Float32[0.0, 1.0]"
40,c_τ_SoilSlow,0.0005479452,0.0005479452,0.0026229776,5.479452e-5,0.005479452,day,day-1,year,year-1,cCycleBase,cCycleBase_GSI,cCycleBase_GSI,cCycleBase.c_τ_SoilSlow,true,normal,"Float32[0.0, 1.0]"
